"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min", "test"
SANFRAN.C,20220322,2359,0.17,,62,48,,,,,,,,,,,,,,
SANFRAN.C,20220323,2359,0.11,,62,48,,,,,,,,,,,,,,
SANFRAN.C,20220324,2359,0.09,,62,48,,,,,,,,,,,,,,
SANFRAN.C,20220325,2359,0.10,,62,48,,,,,,,,,,,,,,
SANFRAN.C,20220326,2359,0.06,,62,47,,,,,,,,,,,,,,
SANFRAN.C,20220327,2359,0.07,,64,47,,,,,,,,,,,,,,
SANFRAN.C,20220328,2359,0.03,,64,48,,,,,,,,,,,,,,
SANFRAN.C,20220329,2359,0.04,,64,47,,,,,,,,,,,,,,
SANFRAN.C,20220330,2359,0.07,,64,47,,,,,,,,,,,,,,
SANFRAN.C,20220331,2359,0.11,,64,48,,,,,,,,,,,,,,
SANFRAN.C,20220401,2359,0.04,,64,48,,,,,,,,,,,,,,
SANFRAN.C,20220402,2359,0.06,,63,48,,,,,,,,,,,,,,
SANFRAN.C,20220403,2359,0.05,,63,48,,,,,,,,,,,,,,
SANFRAN.C,20220404,2359,0.06,,63,48,,,,,,,,,,,,,,
SANFRAN.C,20220405,2359,0.03,,63,48,,,,,,,,,,,,,,
SANFRAN.C,20220406,2359,0.03,,64,49,,,,,,,,,,,,,,
SANFRAN.C,20220407,2359,0.03,,63,48,,,,,,,,,,,,,,
SANFRAN.C,20220408,2359,0.05,,63,48,,,,,,,,,,,,,,
SANFRAN.C,20220409,2359,0.02,,64,48,,,,,,,,,,,,,,
SANFRAN.C,20220410,2359,0.06,,64,49,,,,,,,,,,,,,,
SANFRAN.C,20220411,2359,0.09,,64,49,,,,,,,,,,,,,,
SANFRAN.C,20220412,2359,0.11,,65,48,,,,,,,,,,,,,,
SANFRAN.C,20220413,2359,0.02,,66,48,,,,,,,,,,,,,,
SANFRAN.C,20220414,2359,0.02,,65,48,,,,,,,,,,,,,,
SANFRAN.C,20220415,2359,0.02,,64,48,,,,,,,,,,,,,,
SANFRAN.C,20220416,2359,0.06,,64,50,,,,,,,,,,,,,,
SANFRAN.C,20220417,2359,0.04,,63,50,,,,,,,,,,,,,,
SANFRAN.C,20220418,2359,0.04,,64,49,,,,,,,,,,,,,,
SANFRAN.C,20220419,2359,0.07,,66,49,,,,,,,,,,,,,,
SANFRAN.C,20220420,2359,0.06,,65,50,,,,,,,,,,,,,,
SANFRAN.C,20220421,2359,0.02,,66,50,,,,,,,,,,,,,,
SANFRAN.C,20220422,2359,0.04,,65,50,,,,,,,,,,,,,,
SANFRAN.C,20220423,2359,0.04,,65,50,,,,,,,,,,,,,,
SANFRAN.C,20220424,2359,0.03,,64,50,,,,,,,,,,,,,,
SANFRAN.C,20220425,2359,0.03,,66,49,,,,,,,,,,,,,,
SANFRAN.C,20220426,2359,0.00,,67,49,,,,,,,,,,,,,,
SANFRAN.C,20220427,2359,0.03,,68,49,,,,,,,,,,,,,,
SANFRAN.C,20220428,2359,0.04,,67,50,,,,,,,,,,,,,,
SANFRAN.C,20220429,2359,0.01,,67,50,,,,,,,,,,,,,,
SANFRAN.C,20220430,2359,0.04,,66,50,,,,,,,,,,,,,,
SANFRAN.C,20220501,2359,0.02,,67,50,,,,,,,,,,,,,,
SANFRAN.C,20220502,2359,0.02,,67,51,,,,,,,,,,,,,,
SANFRAN.C,20220503,2359,0.02,,66,51,,,,,,,,,,,,,,
SANFRAN.C,20220504,2359,0.03,,67,51,,,,,,,,,,,,,,
SANFRAN.C,20220505,2359,0.02,,67,50,,,,,,,,,,,,,,
SANFRAN.C,20220506,2359,0.03,,67,50,,,,,,,,,,,,,,
SANFRAN.C,20220507,2359,0.03,,68,51,,,,,,,,,,,,,,
SANFRAN.C,20220508,2359,0.01,,67,51,,,,,,,,,,,,,,
SANFRAN.C,20220509,2359,0.01,,66,50,,,,,,,,,,,,,,
SANFRAN.C,20220510,2359,0.01,,67,50,,,,,,,,,,,,,,
SANFRAN.C,20220511,2359,0.00,,67,50,,,,,,,,,,,,,,
SANFRAN.C,20220512,2359,0.02,,67,50,,,,,,,,,,,,,,
SANFRAN.C,20220513,2359,0.01,,67,51,,,,,,,,,,,,,,
SANFRAN.C,20220514,2359,0.01,,67,51,,,,,,,,,,,,,,
SANFRAN.C,20220515,2359,0.04,,68,52,,,,,,,,,,,,,,
SANFRAN.C,20220516,2359,0.01,,68,52,,,,,,,,,,,,,,
SANFRAN.C,20220517,2359,0.02,,68,52,,,,,,,,,,,,,,
SANFRAN.C,20220518,2359,0.01,,67,51,,,,,,,,,,,,,,
SANFRAN.C,20220519,2359,0.01,,69,52,,,,,,,,,,,,,,
SANFRAN.C,20220520,2359,0.01,,68,52,,,,,,,,,,,,,,
SANFRAN.C,20220521,2359,0.01,,68,52,,,,,,,,,,,,,,
SANFRAN.C,20220522,2359,0.00,,69,51,,,,,,,,,,,,,,
SANFRAN.C,20220523,2359,0.01,,69,52,,,,,,,,,,,,,,
SANFRAN.C,20220524,2359,0.00,,69,52,,,,,,,,,,,,,,
SANFRAN.C,20220525,2359,0.00,,67,52,,,,,,,,,,,,,,
SANFRAN.C,20220526,2359,0.01,,67,52,,,,,,,,,,,,,,
SANFRAN.C,20220527,2359,0.06,,67,53,,,,,,,,,,,,,,
SANFRAN.C,20220528,2359,0.02,,68,52,,,,,,,,,,,,,,
SANFRAN.C,20220529,2359,0.01,,68,52,,,,,,,,,,,,,,
SANFRAN.C,20220530,2359,0.02,,70,53,,,,,,,,,,,,,,
SANFRAN.C,20220531,2359,0.00,,70,53,,,,,,,,,,,,,,
SANFRAN.C,20220601,2359,0.00,,70,53,,,,,,,,,,,,,,
SANFRAN.C,20220602,2359,0.01,,69,53,,,,,,,,,,,,,,
SANFRAN.C,20220603,2359,0.01,,68,53,,,,,,,,,,,,,,
SANFRAN.C,20220604,2359,0.01,,68,53,,,,,,,,,,,,,,
SANFRAN.C,20220605,2359,0.00,,70,53,,,,,,,,,,,,,,
SANFRAN.C,20220606,2359,0.02,,69,53,,,,,,,,,,,,,,
SANFRAN.C,20220607,2359,0.00,,68,53,,,,,,,,,,,,,,
SANFRAN.C,20220608,2359,0.00,,69,52,,,,,,,,,,,,,,
SANFRAN.C,20220609,2359,0.01,,70,53,,,,,,,,,,,,,,
SANFRAN.C,20220610,2359,0.00,,70,53,,,,,,,,,,,,,,
SANFRAN.C,20220611,2359,0.00,,68,53,,,,,,,,,,,,,,
SANFRAN.C,20220612,2359,0.00,,69,53,,,,,,,,,,,,,,
SANFRAN.C,20220613,2359,0.00,,72,53,,,,,,,,,,,,,,
SANFRAN.C,20220614,2359,0.00,,72,54,,,,,,,,,,,,,,
