Precip,Air_Temp_Max,Air_Temp_Min,DayOfWeek,Operating_Airline,Dest,DestState,DepDelay,DepDel15,DepTimeBlk,Distance,DistanceGroup,DepDelayBinary
0.0,72,54,2,UA,OGG,HI,-4.0,0.0,1100-1159,2338.0,10,0
0.0,72,56,3,OO,SEA,WA,-11.0,0.0,2000-2059,679.0,3,0
0.0,68,53,2,AS,DCA,VA,-7.0,0.0,0800-0859,2442.0,10,0
0.0,72,54,5,AS,JFK,NY,97.0,1.0,2200-2259,2586.0,11,1
0.03,67,51,3,UA,TPA,FL,-7.0,0.0,2300-2359,2393.0,10,0
0.16,56,44,3,OO,AUS,TX,-5.0,0.0,0800-0859,1504.0,7,0
0.13,59,46,5,OO,BUR,CA,0.0,0.0,2000-2059,326.0,2,0
0.0,72,56,7,DL,LAX,CA,-5.0,0.0,1500-1559,337.0,2,0
0.0,72,56,4,UA,JAC,WY,-13.0,0.0,1800-1859,737.0,3,0
0.07,64,47,3,OO,PSP,CA,-6.0,0.0,1300-1359,421.0,2,0
0.0,72,53,1,UA,PDX,OR,-6.0,0.0,1900-1959,550.0,3,0
0.0,72,54,5,UA,DEN,CO,1.0,0.0,0001-0559,967.0,4,1
0.04,68,52,7,AA,PHX,AZ,-6.0,0.0,0001-0559,651.0,3,0
0.06,65,50,3,WN,SAN,CA,-4.0,0.0,0001-0559,447.0,2,0
0.0,69,52,3,AS,LAS,NV,0.0,0.0,2000-2059,414.0,2,0
0.04,64,49,1,UA,AUS,TX,-3.0,0.0,1800-1859,1504.0,7,0
0.19,59,47,3,OO,LAX,CA,-5.0,0.0,0900-0959,337.0,2,0
0.08,56,43,2,DL,ATL,GA,-9.0,0.0,1100-1159,2139.0,9,0
0.09,64,49,1,UA,IAD,VA,4.0,0.0,1000-1059,2419.0,10,1
0.0,70,56,4,OO,SEA,WA,-5.0,0.0,1600-1659,679.0,3,0
0.07,66,49,2,OO,SBP,CA,5.0,0.0,2200-2259,190.0,1,1
0.1,57,43,4,AA,DFW,TX,-7.0,0.0,1300-1359,1464.0,6,0
0.0,70,53,5,OO,SMF,CA,26.0,1.0,1600-1659,86.0,1,1
0.0,70,53,5,DL,JFK,NY,-2.0,0.0,1500-1559,2586.0,11,0
